127.0.0.1 - - [21/Jun/2018:22:14:54 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-scroller/js/dataTables.scroller.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/flex_report_params.jsp?id_report=11 HTTP/1.1" 200 44015
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/iCheck/skins/flat/green.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/DateJS/prettify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/iCheck/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/bootstrap-wysiwyg/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/jquery.hotkeys/jquery.hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/bootstrap-wysiwyg/src/bootstrap-wysiwyg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:04 -0500] "GET /SAO/home/vendors/DateJS/prettify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:29 -0500] "GET /SAO/ReportAgendaExcel?param_anio=2018&param_id_cliente=0&param_fecha_ini=2018-04-01&param_fecha_fin=2018-04-30&param_id_estatus=0 HTTP/1.1" 200 41446
