10.1.18.136 - - [18/Jul/2018:12:00:39 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:26 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:26 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24694
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:29 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 9146
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:31 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:32 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 63341
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:56 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 264366
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:53:27 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:03:29 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:03:36 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:03:36 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24694
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:03:37 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7644
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:03:38 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:03:38 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 500 44147
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:27 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 500 4223
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:45 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 64206
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:48 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:51 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:52 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24694
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:53 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 9146
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:54 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:04:55 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 63194
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:00 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:04 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:04 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 13764
