0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:25 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:25 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:25 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:26 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:26 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:28 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:28 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:28 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:28 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:28 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:33 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:33 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:33 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:33 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:11:33 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:39 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:39 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:39 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:39 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:39 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:41 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:41 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:41 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:41 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:41 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:43 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:43 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:43 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:43 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:43 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:44 -0500] "POST /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 31687
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:44 -0500] "GET /joappWeb/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:44 -0500] "GET /joappWeb/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:44 -0500] "GET /joappWeb/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:44 -0500] "POST /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:45 -0500] "POST /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:57 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15727
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:57 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:57 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:57 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:57 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:13:58 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 15727
